acti_id;acti_item;acti_desc;acti_unim;acti_esta;audi_freg;audi_fact;user_id;tiac_id
1;101;"LIMPIEZA DE ZONA DEL DERECHO DE VÍA";KM;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;1
2;102;"LIMPIEZA DE CALZADA Y DE LAS BERMAS";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;1
3;103;"LIMPIEZA DE BADENES";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;1
4;104;"LIMPIEZA DE CUNETAS REVESTIDAS DE CONCRETO";ML;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;1
5;105;"LIMPIEZA DE ACCESOS VEHICULARES";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;1
6;106;"LIMPIEZA DE PARADEROS";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;1
7;111;"LIMPIEZA DE PUENTES";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;2
8;112;"LIMPIEZA DE SEÑALES VERTICALES";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;2
9;113;"LIMPIEZA DE POSTES KILOMÉTRICOS";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;2
10;114;"LIMPIEZA DE POSTES DELINEADORES";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;2
11;115;"LIMPIEZA DE GUARDAVÍAS METÁLICAS";ML;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;2
12;116;"LIMPIEZA DE MUROS Y PARAPETOS";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;2
13;117;"LIMPIEZA DE BORDILLO O SARDINELES";ML;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;2
14;118;"LIMPIEZA DE CABEZALES DE ALCANTARILLA";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;2
15;121;"CONSERVACIÓN DE PUENTE";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;3
16;122;"CONSERVACIÓN DE SEÑALES VERTICALES";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;3
17;123;"CONSERVACIÓN DE POSTES KILOMÉTRICOS";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;3
18;124;"CONSERVACIÓN DE POSTES DELINEADORES";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;3
19;125;"CONSERVACIÓN DE GUARDAVÍAS METÁLICAS";ML;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;3
20;126;"CONSERVACIÓN DE MUROS Y PARAPETOS";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;3
21;127;"CONSERVACIÓN DE GIBAS";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;3
22;128;"CONSERVACIÓN DE ALCANTARILLA";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;3
23;129;"RECONSTRUCCION DE MURO SECO";M3;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;3
24;131;"ROCE DE VEGETACIÓN MENOR EN ZONA DE DERECHO DE VIA";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;4
25;132;"LIMPIEZA DE CANALES";ML;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;4
26;133;"LIMPIEZA DE ALCANTARILLAS";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;4
27;134;"LIMPIEZA DE DERRUMBES Y HUAYCOS MENORES (Manual)";M3;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;4
28;135;"LIMPIEZA DE DERRUMBES Y HUAYCOS MENORES (Equipo)";M3;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;4
29;136;"LIMPIEZA DE DESMONTES";M3;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;4
30;137;"EXCAVACION DE SANJA";M3;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;4
31;138;"LIMPIEZA DE CUNETAS NO REVESTIDAS";ML;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;4
32;141;"SELLADO DE FISURAS Y GRIETAS";ML;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;5
33;142;"PARCHADO SUPERFICIAL DE PAVIMENTOS FLEXIBLES";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;5
34;143;"PARCHADO PROFUNDO DE PAVIMENTOS FLEXIBLES";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;5
35;144;"SELLADOS ASFALTICOS";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;5
36;145;"TRATAMIENTO SUPERFICIAL CON SLURRY SEAL";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;5
37;146;"REPARACION DE BERMA CON MEZCLA ASFALTICA";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;5
38;147;"BACHEO DE PLATAFORMA CON MATERIAL AFIRMADO";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;5
39;148;"REPOSICIÓN DE BASE CON MATERIAL AFIRMADO";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;5
40;149;"CORTE DE CARPETA ASFALTICA ONDULADA";M2;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;5
41;151;"REPOSICIÓN O INSTALACIÓN DE SEÑALES VERTICALES";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;6
42;152;"REPOSICION O INSTALACIÓN DE POSTES KILOMÉTRICOS";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;6
43;153;"REPOSICION O INSTALACIÓN DE GUARDAVIAS METALICAS";ML;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;6
44;154;"REEMPLAZO O INSTALACIÓN DE DELINEADORES";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;6
45;155;"REPOSICIÓN O INSTALACIÓN DE TACHAS REFLECTIVAS";UND;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;6
46;161;"DESCONTAMINACIÓN VISUAL";KM;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;7
47;171;"VIGILANCIA Y CONTROL DE LA VÍA";KM;A;"2016-07-04 15:24:09";"2016-07-04 15:24:09";NULL;8
